title~views~uptime_y~uptime_m~uptime_d~link
NEW EPISODE =F0=9F=92=96=F0=9F=8C=B9 Love is in the Bear (Episode 93) =F0=9F=92=96=F0=9F=8C=B9 Masha and the Bear 2023~21,398,577~0~9~271~https://www.youtube.com/watch?v=3D9S7x_8O0ktY
Masha and the Bear 2023 =F0=9F=92=96=F0=9F=8C=B9 Love is in the Bear (Trailer) =F0=9F=92=96=F0=9F=8C=B9 New episode coming on February 10! =F0=9F=8E=AC~1,398,354~0~9~271~https://www.youtube.com/watch?v=3D2QJfxmp01xk
NEW EPISODE =F0=9F=9A=B2=F0=9F=A5=87 Tour de Forest (Episode 85) =F0=9F=9A=B2=F0=9F=A5=87 Masha and the Bear 2023~40,137,014~0~9~271~https://www.youtube.com/watch?v=3DjCQrWzy-cpQ
Masha and the Bear 2023 =F0=9F=9A=B2=F0=9F=A5=87 Tour de Forest (Trailer) =F0=9F=9A=B2=F0=9F=A5=87 New episode coming on February 3! =F0=9F=8E=AC~1,656,642~0~9~271~https://www.youtube.com/watch?v=3Dh5hJgRnH480
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=9A=8C Bus Stop (Episode 16) =F0=9F=94=94~3,331,972~0~9~271~https://www.youtube.com/watch?v=3DDlhgf0IrIu8
Masha and the Bear 2023 =F0=9F=92=A5 NEW EPISODE =F0=9F=92=A5 Quartet Plus (Episode 68) =F0=9F=8E=BA=F0=9F=8E=BB~2,609,848~0~9~271~https://www.youtube.com/watch?v=3D7kmd2GVyQys
Masha and the Bear 2023 =F0=9F=8E=BA=F0=9F=8E=BB Quartet Plus (Trailer) =F0=9F=8E=BA=F0=9F=8E=BB New episode coming on January 27! =F0=9F=8E=AC~1,009,383~0~9~271~https://www.youtube.com/watch?v=3DNlemhVjGzQc
Masha and the Bear 2023 =F0=9F=90=BB=F0=9F=91=B1=E2=80=8D=E2=99=80=EF=B8=8F Winter fun =E2=9B=84 1 hour =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~16,326,009~0~9~271~https://www.youtube.com/watch?v=3D1gpzoo80Cvo
Masha and the Bear 2023 =F0=9F=91=BB Masha's Spooky Stories =F0=9F=91=B6 Bloodcurdling Saga About Joyful Event(Episode 23)~269,999~0~10~302~https://www.youtube.com/watch?v=3D0T97H-CLNJY
Masha and the Bear 2023 =F0=9F=92=96 So different but together =F0=9F=8C=BC Best episodes cartoon collection =F0=9F=8E=AC~5,192,343~0~10~302~https://www.youtube.com/watch?v=3DEFTw7fHAE5A
Masha and the Bear 2023 =F0=9F=92=A5 Holiday on Ice =E2=9B=B8 30 min =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~6,225,347~0~10~302~https://www.youtube.com/watch?v=3DOH06hSReNqY
Masha and the Bear 2023 =E2=9B=84 Go outside! =F0=9F=8F=82 Best episodes cartoon collection =F0=9F=8E=AC~8,522,205~0~10~302~https://www.youtube.com/watch?v=3DPWwcostuTmU
Masha and the Bear 2023 =F0=9F=8F=A0 Holiday's basics =F0=9F=8E=84 Best episodes cartoon collection =F0=9F=8E=AC~9,534,701~0~10~302~https://www.youtube.com/watch?v=3DrysMiBKQ-Zw
Masha and the Bear 2022 =F0=9F=A7=99=E2=80=8D=E2=99=82=EF=B8=8F Let the miracle happen =E2=9C=A8 Best episodes cartoon collection =F0=9F=8E=AC~2,497,195~0~10~302~https://www.youtube.com/watch?v=3D6dDM-0oSN0A
Masha and the Bear 2022 =F0=9F=8E=AC NEW EPISODE! =F0=9F=8E=AC Best cartoon collection =F0=9F=8E=84=E2=9D=84 Wish Upon a Star~20,743,087~0~10~302~https://www.youtube.com/watch?v=3DYI9jcv1aovc
Masha and the Bear 2022 =E2=9C=A8 Make a wish! =F0=9F=8C=A0 Best episodes cartoon collection =F0=9F=8E=AC~3,487,313~0~10~302~https://www.youtube.com/watch?v=3DTmr8Xe3a-BA
Masha and the Bear 2022 =F0=9F=90=BB=F0=9F=91=B1=E2=80=8D=E2=99=80=EF=B8=8F Best episodes of 2022 =F0=9F=92=96 1 hour =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~42,903,339~0~10~302~https://www.youtube.com/watch?v=3DqoA8m9esbGI
Masha and the Bear 2022 =F0=9F=8E=81=F0=9F=8E=84 I=E2=80=99ll Get Lots of Presents! =F0=9F=8E=81=F0=9F=8E=84 Songs from cartoons =F0=9F=8E=B5 Christmas Carol~1,437,579~0~11~333~https://www.youtube.com/watch?v=3Dq_MqzX3hPBM
